file,rows,start_time,end_time,duration_seconds,max_total_a,max_abs_gyro
normal_104.csv,15,1773566744.631594,1773566746.073068,1.4414739608764648,1.27,141.76
normal_105.csv,25,1773566747.5508406,1773566749.9318025,2.3809618949890137,1.27,210.63
normal_106.csv,25,1773566753.384159,1773566755.834745,2.4505858421325684,1.23,197.88
normal_107.csv,25,1773566758.650557,1773566761.1305337,2.4799766540527344,1.25,140.4
normal_108.csv,25,1773566763.4239252,1773566765.8481865,2.4242613315582275,1.5,164.78
normal_109.csv,25,1773566768.343242,1773566770.747374,2.404132127761841,1.33,172.63
normal_110.csv,25,1773566773.350571,1773566775.7464125,2.395841598510742,1.26,145.91
normal_111.csv,25,1773566777.8637674,1773566780.3453698,2.481602430343628,1.23,194.78
normal_112.csv,25,1773566782.3654342,1773566784.848481,2.483046770095825,1.27,172.06
normal_113.csv,25,1773566787.4879868,1773566789.860697,2.3727102279663086,1.26,163.33
normal_114.csv,25,1773566791.9101024,1773566794.3794,2.4692976474761963,1.33,190.93
normal_115.csv,25,1773566796.8447516,1773566799.327277,2.48252534866333,1.32,138.58
normal_116.csv,16,1773566799.4266646,1773566800.978674,1.5520093441009521,1.21,233.16
normal_117.csv,25,1773566802.4490733,1773566804.9170997,2.4680263996124268,1.34,149.86
normal_118.csv,18,1773566805.026018,1773566806.7760563,1.7500383853912354,1.25,130.06
normal_119.csv,25,1773566808.2596917,1773566810.7415905,2.481898784637451,1.21,239.3
normal_120.csv,25,1773566813.907847,1773566816.2945366,2.3866896629333496,2.18,449.45
normal_121.csv,25,1773566818.7434938,1773566821.2237177,2.4802238941192627,1.92,296.38
normal_122.csv,25,1773566823.3800962,1773566825.8587618,2.478665590286255,1.7,285.1
normal_123.csv,25,1773566828.238875,1773566830.722254,2.4833791255950928,1.76,268.32
normal_124.csv,25,1773566830.8239834,1773566834.1615725,3.3375890254974365,1.9,224.57
normal_125.csv,20,1773566834.260457,1773566836.2391157,1.978658676147461,1.49,160.63
normal_126.csv,25,1773566838.7857578,1773566841.189352,2.4035942554473877,1.14,132.09
normal_127.csv,16,1773566841.2897606,1773566842.8393557,1.5495951175689697,1.18,140.73
normal_128.csv,25,1773566844.1809306,1773566846.6628325,2.4819018840789795,1.32,123.79
normal_129.csv,17,1773566846.7719836,1773566848.426656,1.654672384262085,1.26,122.72
normal_130.csv,25,1773566849.9542017,1773566852.4004571,2.4462554454803467,1.21,143.88
normal_131.csv,25,1773566852.5043712,1773566855.5939758,3.089604616165161,1.42,267.41
normal_132.csv,25,1773566855.7065732,1773566858.1876843,2.4811110496520996,1.29,281.33
normal_133.csv,25,1773566867.4679725,1773566869.9536078,2.485635280609131,1.39,145.08
normal_134.csv,25,1773566872.1188269,1773566874.6050415,2.4862146377563477,1.23,128.58
normal_135.csv,15,1773566874.715942,1773566876.1557996,1.4398577213287354,1.23,109.3
normal_136.csv,25,1773566877.3180816,1773566879.7878523,2.469770669937134,1.18,179.5
normal_137.csv,20,1773566879.8877983,1773566881.8541875,1.9663891792297363,1.15,243.01
normal_138.csv,25,1773566887.1234472,1773566889.5006652,2.377218008041382,1.55,136.69
normal_139.csv,25,1773566892.6498666,1773566895.084902,2.435035467147827,1.6,86.82
normal_140.csv,25,1773566898.9992542,1773566901.448847,2.4495928287506104,1.43,92.61
normal_141.csv,23,1773566905.293243,1773566907.5637136,2.27047061920166,1.37,112.24
normal_142.csv,25,1773566908.675456,1773566911.1489103,2.473454236984253,1.57,98.7
normal_143.csv,25,1773566913.0176263,1773566915.468217,2.4505906105041504,1.27,93.28
normal_144.csv,25,1773566916.8640664,1773566919.339342,2.475275754928589,1.51,194.41
normal_145.csv,25,1773566919.4388516,1773566922.800424,3.361572504043579,1.29,95.48
normal_146.csv,25,1773566923.9800084,1773566926.339514,2.3595056533813477,1.76,164.52
normal_147.csv,20,1773566927.56305,1773566929.4961443,1.9330942630767822,1.27,105.53
normal_148.csv,25,1773566931.1793427,1773566933.6604304,2.4810876846313477,1.53,88.53
normal_149.csv,25,1773566934.970923,1773566937.445855,2.4749319553375244,1.23,109.28
normal_150.csv,25,1773566940.2689142,1773566942.6947236,2.425809383392334,1.84,178.98
normal_151.csv,25,1773566944.1564069,1773566946.6347425,2.4783356189727783,1.23,106.35
normal_152.csv,25,1773566948.4609032,1773566950.8960085,2.435105323791504,1.85,107.77
normal_153.csv,25,1773566951.0005891,1773566954.2117956,3.2112064361572266,1.42,100.15
normal_154.csv,25,1773566956.0463996,1773566958.5342476,2.4878480434417725,1.74,118.57
normal_155.csv,25,1773566960.159748,1773566962.629077,2.4693288803100586,1.36,112.82
normal_156.csv,25,1773566962.7306063,1773566965.928534,3.197927713394165,1.87,125.34
normal_157.csv,25,1773566966.0302408,1773566969.3442082,3.31396746635437,1.18,87.21
normal_158.csv,25,1773566972.211983,1773566974.665156,2.4531729221343994,1.15,79.1
normal_159.csv,25,1773566976.055627,1773566978.5244355,2.46880841255188,1.14,177.47
normal_160.csv,25,1773566980.4002934,1773566982.8438373,2.4435439109802246,1.19,158.53
normal_161.csv,25,1773566984.9093423,1773566987.225623,2.3162806034088135,1.15,176.06
normal_162.csv,25,1773566987.3290584,1773566990.6231637,3.294105291366577,1.15,197.13
normal_163.csv,25,1773566992.902511,1773566995.3403342,2.4378232955932617,1.16,186.06
normal_164.csv,25,1773566996.5520532,1773566999.7805326,3.2284793853759766,1.47,202.14
normal_165.csv,24,1773566999.8868303,1773567002.258197,2.3713667392730713,1.28,119.3
normal_166.csv,25,1773567003.2803533,1773567005.7375689,2.4572155475616455,1.09,190.84
normal_167.csv,25,1773567005.838641,1773567009.0764363,3.237795352935791,1.32,179.79
normal_168.csv,25,1773567010.7111886,1773567013.140705,2.429516553878784,1.1,207.42
normal_169.csv,25,1773567013.2485242,1773567016.492633,3.2441089153289795,1.3,102.84
normal_170.csv,25,1773567016.5902438,1773567019.8435652,3.253321409225464,1.21,187.59
normal_171.csv,25,1773567019.953813,1773567023.2358985,3.282085418701172,1.34,265.22
normal_172.csv,25,1773567023.3376577,1773567025.8200655,2.482407808303833,1.1,154.21
normal_173.csv,25,1773567027.20391,1773567029.6746032,2.4706931114196777,1.21,211.91
normal_174.csv,25,1773567029.7860377,1773567032.9563088,3.170271158218384,1.15,222.26
normal_175.csv,22,1773567033.073382,1773567035.236474,2.1630921363830566,1.2,194.58
normal_176.csv,25,1773567039.2276192,1773567041.70183,2.474210739135742,1.26,149.22
normal_177.csv,25,1773567043.448867,1773567045.9355388,2.4866716861724854,1.07,198.38
normal_178.csv,25,1773567046.0267208,1773567049.186046,3.159325122833252,1.25,138.5
normal_179.csv,22,1773567049.2885778,1773567051.4538002,2.165222406387329,1.23,173.28
normal_180.csv,25,1773567052.894868,1773567055.2477095,2.35284161567688,1.14,218.31
normal_181.csv,25,1773567055.338482,1773567058.486757,3.148275136947632,1.35,127.02
normal_182.csv,16,1773567058.6005852,1773567060.149562,1.5489766597747803,1.36,89.44
normal_183.csv,25,1773567061.7972054,1773567064.2676606,2.4704551696777344,1.44,134.18
normal_184.csv,25,1773567064.3825338,1773567067.6691985,3.2866647243499756,1.14,89.18
normal_185.csv,25,1773567067.7657475,1773567071.0514786,3.285731077194214,1.54,193.91
normal_186.csv,25,1773567073.191888,1773567075.6669424,2.4750542640686035,1.25,266.69
normal_187.csv,25,1773567075.7693555,1773567079.0166593,3.2473037242889404,1.22,121.8
normal_188.csv,25,1773567079.1173065,1773567082.3321867,3.2148802280426025,1.18,182.49
normal_189.csv,25,1773567082.4478662,1773567085.6315143,3.183648109436035,1.25,226.87
normal_190.csv,25,1773567085.7346237,1773567089.0412896,3.3066658973693848,1.29,174.46
normal_191.csv,25,1773567089.1331248,1773567091.597292,2.4641671180725098,1.23,204.03
normal_192.csv,25,1773567092.838494,1773567095.19161,2.353116035461426,1.19,275.68
normal_193.csv,25,1773567097.516172,1773567100.002071,2.485898971557617,1.26,151.5
normal_194.csv,25,1773567102.0880337,1773567104.5368,2.4487662315368652,1.25,111.1
normal_195.csv,25,1773567104.6345165,1773567107.913115,3.2785985469818115,1.17,148.66
normal_196.csv,25,1773567108.0147998,1773567111.3663297,3.351529836654663,1.18,134.09
normal_197.csv,25,1773567111.4299514,1773567113.901486,2.471534490585327,1.14,152.95
normal_198.csv,25,1773567113.998514,1773567117.2442577,3.245743751525879,1.19,136.73
normal_199.csv,15,1773567117.346974,1773567118.7946842,1.4477102756500244,1.14,180.06
normal_200.csv,25,1773567119.876865,1773567123.1371727,3.260307788848877,1.19,149.37
normal_201.csv,25,1773567123.2284863,1773567125.7123885,2.4839022159576416,1.16,171.12
normal_202.csv,25,1773567125.8106718,1773567129.0757077,3.26503586769104,1.37,130.58
normal_203.csv,25,1773567131.138952,1773567133.5775208,2.4385688304901123,1.22,310.82
